# Official name: Heimdal Gletsjer, Foreign name: Heimdal Gletsjer, Mouginot/Mankoff name: Heimdal Gletscher, Mouginot region: SE, Mankoff discharge gate (2021): 304, closest NSIDC/MEASUREs ID: 194, distance to closest NSIDC/MEASUREs ID: 4624m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,29,148997442,2356222,151353692
2010-02,150,138201711,2356195,140558056
2010-03,130,156443836,2356193,158800159
2010-04,179,154602740,2356193,156959112
2010-05,91864628,172920548,2862524,267647700
2010-06,383013034,135205479,8603423,526821937
2010-07,560325173,122386301,16267244,698978719
2010-08,584797562,106249315,16393122,707439999
2010-09,346955161,102493151,8403337,457851648
2010-10,48670345,109816438,2356359,160843143
2010-11,58461,109581270,2356193,111995924
2010-12,173522,115980801,2356193,118510516
2011-01,6825,119112910,2356193,121475928
2011-02,6569,111485842,2356193,113848604
2011-03,6604,129095890,2356193,131458687
2011-04,6271,141534247,2356193,143896710
2011-05,17328,146506849,2356193,148880371
2011-06,236977184,164219178,7203860,408400222
2011-07,580686223,172495890,15967186,769149300
2011-08,369969879,147865753,9437227,527272859
2011-09,50509746,163150685,2496289,216156720
2011-10,128477,153980822,2356193,156465492
2011-11,27585,148927166,2356193,151310944
2011-12,49565,153856109,2356193,156261868
2012-01,44315,153810959,2356204,156211477
2012-02,29962,143809010,2356203,146195175
2012-03,61734,153641096,2356204,156059033
2012-04,15193,148602740,2356193,150974126
2012-05,26947233,153471233,2475266,182893732
2012-06,468831568,147452055,14432734,630716356
2012-07,733248797,105994521,21348308,860591626
2012-08,515160506,88498630,14346440,618005576
2012-09,45378546,87534247,2396776,135309568
2012-10,198651,95717808,2356205,98272664
2012-11,25023,100438356,2356205,102819584
2012-12,24668,110058486,2356205,112439359
2013-01,153,115821524,2356234,118177911
2013-02,138,109698630,2356230,112054999
2013-03,153,126547945,2356234,128904332
2013-04,22934,135123288,2356233,137502454
2013-05,4662,130284932,2356234,132645827
2013-06,178801947,131013699,3494738,313310384
2013-07,388343158,138693151,13401659,540437967
2013-08,303345182,117800000,8488948,429634131
2013-09,31869137,115232877,2614327,149716341
2013-10,19193,122726027,2356492,125101712
2013-11,343,134630137,2356193,136986673
2013-12,152,142939726,2356193,145296071
2014-01,175,146931507,2356194,149287876
2014-02,135,130564384,2356198,132920716
2014-03,247,157632877,2356193,159989317
2014-04,103,140383562,2356256,142739921
2014-05,30561039,151432877,2356193,184350108
2014-06,343656567,142602740,8889473,495148780
2014-07,506672046,111939726,16071012,634682784
2014-08,568192826,90621918,16081696,674896440
2014-09,70549072,98794521,2752240,172095832
2014-10,1279,99624658,2356507,101982444
2014-11,169047,99780822,2356489,102306358
2014-12,209,109646575,2356499,112003283
2015-01,46,118267123,2356264,120623433
2015-02,18,112268493,2356257,114624769
2015-03,19,133809589,2356264,136165872
2015-04,20,135319067,2356258,137675345
2015-05,35,142472603,2356260,144828898
2015-06,172595092,131434285,4262493,308291871
2015-07,407239557,123532877,12633757,543406191
2015-08,355165678,108032877,10053688,473252243
2015-09,124516061,121726027,3646107,249888196
2015-10,61,103956164,2356213,106312438
2015-11,0,103020944,2356280,105377224
2015-12,0,110920548,2356211,113276759
2016-01,2085,116058904,2356205,118417194
2016-02,1719,117675303,2356193,120033215
2016-03,1603,131856164,2356193,134213961
2016-04,15423,126939164,2356193,129310780
2016-05,18346607,129478082,2356193,150180883
2016-06,442677789,119164467,11607551,573449808
2016-07,502512853,111769863,15868282,630150998
2016-08,407328796,91598630,11931949,510859374
2016-09,66342172,96123288,2563868,165029327
2016-10,11322456,90129315,2356376,103808147
2016-11,152763,96123288,2356370,98632421
2016-12,220664,107421370,2356376,109998410
2017-01,72579,110750685,2356293,113179557
2017-02,1,111443836,2356284,113800120
2017-03,0,127184932,2356293,129541225
2017-04,7426,131473763,2356254,133837444
2017-05,95325162,141665753,2866121,239857036
2017-06,294350487,125465753,7728835,427545075
2017-07,498150599,119526941,14114118,631791658
2017-08,417547619,108584932,12438722,538571273
2017-09,128241258,127397260,5010202,260648720
2017-10,3425046,108032877,2482357,113940280
2017-11,7898,111575342,2356234,113939475
2017-12,312,126526712,2356194,128883218
2018-01,2,126972603,2356326,129328931
2018-02,10,119882192,2356313,122238515
2018-03,2,142209315,2356326,144565643
2018-04,34,147164384,2356322,149520740
2018-05,33,151602740,2356326,153959098
2018-06,215123513,133356164,4501965,352981643
2018-07,503364628,118422831,15844274,637631733
2018-08,389574521,100728767,10603774,500907062
2018-09,21237901,95561644,2358520,119158065
2018-10,261692,116462329,2356514,119080535
2018-11,25779,127260274,2356391,129642443
2018-12,25025,135147260,2356397,137528683
2019-01,12587,136187671,2356193,138556451
2019-02,9665,132175342,2356193,134541201
2019-03,10577,153159817,2356193,155526587
2019-04,10457,155205479,2360542,157576478
2019-05,75306811,158227397,2405984,235940192
2019-06,369126691,133808219,8970491,511905401
2019-07,621243070,111175342,21714740,754133153
2019-08,371313796,95972603,10886881,478173280
2019-09,96021204,91109589,2790931,189921724
2019-10,7416606,97784475,2365081,107566162
2019-11,48165,109767123,2356957,112172246
2019-12,64126,115450228,2356297,117870651
2020-01,255350,117488584,2356312,120100247
2020-02,9027,124183562,2356397,126548986
2020-03,27296,136145205,2356418,138528920
2020-04,13657,140630137,2356656,143000450
2020-05,44524951,140335160,2356328,187216439
2020-06,336577573,121356164,8513487,466447224
2020-07,550965692,109674886,18059210,678699788
2020-08,487032460,95165753,13480691,595678904
2020-09,40431888,92547945,2644028,135623862
2020-10,79023,108924658,2356868,111360548
2020-11,2937,117315068,2356234,119674239
2020-12,45668,118394521,2356236,120796425
